Key,Type Group,Value,Type ID,Erläuterung
highway,1000,motorway,1010,Autobahn
highway,1000,motorway_link,1011,Anschluss/Zubringer
highway,1000,trunk,1020,Autobahnähnliche Strasse
highway,1000,trunk_link,1021,Anschluss/Zubringer
highway,1000,primary,1030,Bundesstraße
highway,1000,primary_link,1031,Anschluss/Zubringer
highway,1000,secondary,1040,Landstraße
highway,1000,secondary_link,1041,Anschluss/Zubringer
highway,1000,tertiary,1050,Kreisstraße
highway,1000,tertiary_link,1051,Anschluss/Zubringer
highway,1000,living_street,1060,Verkehrsberuhigte Straße
highway,1000,pedestrian,1070,Fußgängerzohne
highway,1000,residential,1080,Straße in Wohngebieten
highway,1000,unclassified,1090,Nebenstraßen
highway,1000,road,1091,unbestimmte Straße
highway,1000,service,1100,Erschließungsweg
highway,1000,track,1110,Feldweg
highway,1000,path,1120,Pfad
highway,1000,footway,1130,Fußweg
waterway,2000,river,2001,Fluss
waterway,2000,canal,2002,Kanal
waterway,2000,ditch,2003,Entwässerungsgraben
waterway,2000,stream,2004,Bach
waterway,2000,drain,2005,Abwassergraben
waterway,2000,riverbank,2006,Flussufer
waterway,2000,dam,2007,Damm
railway,3000,rail,3001,Eisenbahn (auch S-Bahn)
railway,3000,subway,3002,U-Bahn
railway,3000,tram,3003,Straßenbahn
railway,3000,light_rail,3004,Stadtbahn
leisure,4000,nature_reserve,4001,Naturschutzgebiet
leisure,4000,park,4002,Park
leisure,4000,common,4003,
leisure,4000,playground,4004,Spielplatz
leisure,4000,garden,4005,öffentlicher Garten (botanisch)
leisure,4000,pitch,4006,Spielfeld
leisure,4000,stadium,4007,Stadion
leisure,4000,swimming_pool,4008,Schwimmbecken
leisure,4000,water_park,4009,Wasserpark
landuse,5000,residential,5001,Wohngebiet
landuse,5000,industrial,5002,Gewerbe-/Industriegebiet
landuse,5000,commercial,5003,Büros
landuse,5000,forest,5004,Forst
landuse,5000,grass,5005,Rasenfläche
landuse,5000,meadow,5006,Weide
landuse,5000,farm,5007,Bauernhaus
landuse,5000,farmland,5008,Äcker
landuse,5000,farmyard,5009,Bauernhof
landuse,5000,allotments,5010,Kleingärten
landuse,5000,cemetery,5011,Friedhof
landuse,5000,recreation_ground,5012,Erholungsgebiet
landuse,5000,reservoir,5013,Speicherbecken
landuse,5000,vineyard,5014,Weinberg
landuse,5000,basin,5015,Rückhaltebecken
